home_team,away_team,home_score,away_score,year,month,day,game_date,date
Forest Green,Grimsby,1,3,2016,05,15,15.05. 11:00,2016-05-15
Braintree,Grimsby,0,2,2016,05,08,08.05. 10:00AET,2016-05-08
Forest Green,Dover,1,1,2016,05,07,07.05. 14:30,2016-05-07
Grimsby,Braintree,0,1,2016,05,05,05.05. 14:00,2016-05-05
Dover,Forest Green,0,1,2016,05,04,04.05. 14:00,2016-05-04
Barrow,Wrexham,2,0,2016,04,30,30.04. 12:30,2016-04-30
Braintree,Altrincham,3,0,2016,04,30,30.04. 12:30,2016-04-30
Bromley,Aldershot,1,3,2016,04,30,30.04. 12:30,2016-04-30
Cheltenham,Lincoln,3,1,2016,04,30,30.04. 12:30,2016-04-30
Chester,Gateshead,4,2,2016,04,30,30.04. 12:30,2016-04-30
Dover,Forest Green,0,1,2016,04,30,30.04. 12:30,2016-04-30
FC Halifax,Macclesfield,1,1,2016,04,30,30.04. 12:30,2016-04-30
Guiseley,Torquay,4,3,2016,04,30,30.04. 12:30,2016-04-30
Southport,Kidderminster,3,4,2016,04,30,30.04. 12:30,2016-04-30
Tranmere,Grimsby,1,0,2016,04,30,30.04. 12:30,2016-04-30
Welling,Boreham Wood,0,3,2016,04,30,30.04. 12:30,2016-04-30
Woking,Eastleigh,2,1,2016,04,30,30.04. 12:30,2016-04-30
Aldershot,Southport,1,2,2016,04,23,23.04. 10:00,2016-04-23
Altrincham,Welling,5,0,2016,04,23,23.04. 10:00,2016-04-23
Boreham Wood,Guiseley,1,0,2016,04,23,23.04. 10:00,2016-04-23
Eastleigh,Tranmere,0,1,2016,04,23,23.04. 10:00,2016-04-23
Forest Green,FC Halifax,0,1,2016,04,23,23.04. 10:00,2016-04-23
Gateshead,Bromley,3,1,2016,04,23,23.04. 10:00,2016-04-23
Grimsby,Chester,1,2,2016,04,23,23.04. 10:00,2016-04-23
Kidderminster,Dover,1,1,2016,04,23,23.04. 10:00,2016-04-23
Lincoln,Woking,2,3,2016,04,23,23.04. 10:00,2016-04-23
Macclesfield,Cheltenham,0,1,2016,04,23,23.04. 10:00,2016-04-23
Torquay,Barrow,2,2,2016,04,23,23.04. 10:00,2016-04-23
Wrexham,Braintree,2,3,2016,04,23,23.04. 10:00,2016-04-23
FC Halifax,Eastleigh,0,0,2016,04,19,19.04. 14:45,2016-04-19
Woking,Grimsby,1,3,2016,04,19,19.04. 14:45,2016-04-19
Aldershot,Boreham Wood,1,2,2016,04,16,16.04. 10:00,2016-04-16
Bromley,Torquay,0,2,2016,04,16,16.04. 10:00,2016-04-16
Cheltenham,FC Halifax,2,0,2016,04,16,16.04. 10:00,2016-04-16
Chester,Welling,4,0,2016,04,16,16.04. 10:00,2016-04-16
Dover,Grimsby,1,1,2016,04,16,16.04. 10:00,2016-04-16
Eastleigh,Altrincham,2,0,2016,04,16,16.04. 10:00,2016-04-16
Forest Green,Woking,1,2,2016,04,16,16.04. 10:00,2016-04-16
Gateshead,Braintree,2,3,2016,04,16,16.04. 10:00,2016-04-16
Kidderminster,Barrow,0,0,2016,04,16,16.04. 10:00,2016-04-16
Macclesfield,Guiseley,1,0,2016,04,16,16.04. 10:00,2016-04-16
Southport,Lincoln,2,2,2016,04,16,16.04. 10:00,2016-04-16
Tranmere,Wrexham,1,2,2016,04,16,16.04. 10:00,2016-04-16
Eastleigh,Barrow,3,1,2016,04,12,12.04. 14:45,2016-04-12
Grimsby,Braintree,0,1,2016,04,12,12.04. 14:45,2016-04-12
Guiseley,Wrexham,3,1,2016,04,12,12.04. 14:45,2016-04-12
Kidderminster,FC Halifax,1,0,2016,04,12,12.04. 14:45,2016-04-12
Macclesfield,Dover,0,0,2016,04,12,12.04. 14:45,2016-04-12
Torquay,Altrincham,2,0,2016,04,12,12.04. 14:45,2016-04-12
Altrincham,Bromley,0,0,2016,04,09,09.04. 10:00,2016-04-09
Barrow,Macclesfield,1,1,2016,04,09,09.04. 10:00,2016-04-09
Boreham Wood,Southport,0,2,2016,04,09,09.04. 10:00,2016-04-09
Braintree,Forest Green,1,1,2016,04,09,09.04. 10:00,2016-04-09
FC Halifax,Aldershot,0,2,2016,04,09,09.04. 10:00,2016-04-09
Grimsby,Eastleigh,0,0,2016,04,09,09.04. 10:00,2016-04-09
Guiseley,Cheltenham,0,2,2016,04,09,09.04. 10:00,2016-04-09
Lincoln,Chester,2,1,2016,04,09,09.04. 10:00,2016-04-09
Torquay,Tranmere,0,1,2016,04,09,09.04. 10:00,2016-04-09
Welling,Kidderminster,1,2,2016,04,09,09.04. 10:00,2016-04-09
Woking,Gateshead,1,1,2016,04,09,09.04. 10:00,2016-04-09
Wrexham,Dover,0,1,2016,04,09,09.04. 10:00,2016-04-09
Aldershot,Grimsby,3,4,2016,04,05,05.04. 14:45,2016-04-05
Altrincham,Dover,1,2,2016,04,05,05.04. 14:45,2016-04-05
Barrow,Braintree,2,0,2016,04,05,05.04. 14:45,2016-04-05
FC Halifax,Boreham Wood,3,2,2016,04,05,05.04. 14:45,2016-04-05
Torquay,Chester,2,0,2016,04,05,05.04. 14:45,2016-04-05
Chester,Boreham Wood,2,2,2016,04,02,02.04. 10:45,2016-04-02
Aldershot,Barrow,0,1,2016,04,02,02.04. 10:00,2016-04-02
Bromley,Lincoln,2,0,2016,04,02,02.04. 10:00,2016-04-02
Dover,FC Halifax,1,0,2016,04,02,02.04. 10:00,2016-04-02
Eastleigh,Guiseley,1,1,2016,04,02,02.04. 10:00,2016-04-02
Forest Green,Wrexham,0,0,2016,04,02,02.04. 10:00,2016-04-02
Gateshead,Torquay,1,2,2016,04,02,02.04. 10:00,2016-04-02
Kidderminster,Altrincham,1,1,2016,04,02,02.04. 10:00,2016-04-02
Macclesfield,Braintree,3,1,2016,04,02,02.04. 10:00,2016-04-02
Southport,Woking,2,2,2016,04,02,02.04. 10:00,2016-04-02
Tranmere,Welling,1,2,2016,04,02,02.04. 10:00,2016-04-02
Cheltenham,Grimsby,3,1,2016,04,01,01.04. 14:45,2016-04-01
Wrexham,Cheltenham,2,1,2016,03,28,28.03. 12:45,2016-03-28
Aldershot,Braintree,2,1,2016,03,28,28.03. 10:00,2016-03-28
Altrincham,Southport,1,1,2016,03,28,28.03. 10:00,2016-03-28
Barrow,FC Halifax,4,1,2016,03,28,28.03. 10:00,2016-03-28
Boreham Wood,Dover,3,0,2016,03,28,28.03. 10:00,2016-03-28
Bromley,Forest Green,2,2,2016,03,28,28.03. 10:00,2016-03-28
Guiseley,Chester,3,3,2016,03,28,28.03. 10:00,2016-03-28
Kidderminster,Tranmere,0,2,2016,03,28,28.03. 10:00,2016-03-28
Lincoln,Gateshead,1,1,2016,03,28,28.03. 10:00,2016-03-28
Macclesfield,Grimsby,2,1,2016,03,28,28.03. 10:00,2016-03-28
Torquay,Eastleigh,0,1,2016,03,28,28.03. 10:00,2016-03-28
Welling,Woking,2,1,2016,03,28,28.03. 10:00,2016-03-28
Chester,Barrow,1,2,2016,03,26,26.03. 11:00,2016-03-26
Dover,Torquay,5,0,2016,03,26,26.03. 11:00,2016-03-26
Grimsby,Wrexham,1,0,2016,03,26,26.03. 11:00,2016-03-26
Southport,Guiseley,2,0,2016,03,26,26.03. 11:00,2016-03-26
Woking,Kidderminster,1,1,2016,03,26,26.03. 11:00,2016-03-26
FC Halifax,Altrincham,1,0,2016,03,26,26.03. 08:45,2016-03-26
Braintree,Bromley,1,0,2016,03,25,25.03. 11:00,2016-03-25
Cheltenham,Boreham Wood,4,1,2016,03,25,25.03. 11:00,2016-03-25
Eastleigh,Welling,0,0,2016,03,25,25.03. 11:00,2016-03-25
Forest Green,Aldershot,0,0,2016,03,25,25.03. 11:00,2016-03-25
Gateshead,Macclesfield,0,3,2016,03,25,25.03. 11:00,2016-03-25
Tranmere,Lincoln,3,2,2016,03,25,25.03. 11:00,2016-03-25
Altrincham,Aldershot,4,0,2016,03,19,19.03. 11:00,2016-03-19
Barrow,Bromley,1,1,2016,03,19,19.03. 11:00,2016-03-19
Boreham Wood,Macclesfield,0,0,2016,03,19,19.03. 11:00,2016-03-19
Braintree,Cheltenham,1,0,2016,03,19,19.03. 11:00,2016-03-19
Guiseley,Dover,0,1,2016,03,19,19.03. 11:00,2016-03-19
Lincoln,Kidderminster,1,2,2016,03,19,19.03. 11:00,2016-03-19
Torquay,Southport,1,0,2016,03,19,19.03. 11:00,2016-03-19
Tranmere,Forest Green,1,1,2016,03,19,19.03. 11:00,2016-03-19
Welling,Gateshead,0,1,2016,03,19,19.03. 11:00,2016-03-19
Wrexham,Chester,3,0,2016,03,19,19.03. 10:00,2016-03-19
Braintree,Gateshead,0,0,2016,03,15,15.03. 15:45,2016-03-15
Dover,Lincoln,4,1,2016,03,15,15.03. 15:45,2016-03-15
Eastleigh,Bromley,2,0,2016,03,15,15.03. 15:45,2016-03-15
Guiseley,Grimsby,2,2,2016,03,15,15.03. 15:45,2016-03-15
Torquay,FC Halifax,0,0,2016,03,15,15.03. 15:45,2016-03-15
Aldershot,Torquay,0,0,2016,03,12,12.03. 10:00,2016-03-12
Barrow,Altrincham,3,2,2016,03,12,12.03. 10:00,2016-03-12
Bromley,Guiseley,2,0,2016,03,12,12.03. 10:00,2016-03-12
Cheltenham,Woking,4,0,2016,03,12,12.03. 10:00,2016-03-12
Dover,Tranmere,0,0,2016,03,12,12.03. 10:00,2016-03-12
Eastleigh,Chester,1,0,2016,03,12,12.03. 10:00,2016-03-12
Gateshead,Forest Green,0,1,2016,03,12,12.03. 10:00,2016-03-12
Macclesfield,Lincoln,1,1,2016,03,12,12.03. 10:00,2016-03-12
Southport,Welling,3,3,2016,03,12,12.03. 10:00,2016-03-12
Wrexham,Boreham Wood,1,0,2016,03,12,12.03. 10:00,2016-03-12
Altrincham,Gateshead,2,3,2016,03,08,08.03. 14:45,2016-03-08
Barrow,Boreham Wood,0,0,2016,03,08,08.03. 14:45,2016-03-08
Bromley,FC Halifax,1,0,2016,03,08,08.03. 14:45,2016-03-08
Chester,Aldershot,8,2,2016,03,08,08.03. 14:45,2016-03-08
Dover,Welling,2,1,2016,03,08,08.03. 14:45,2016-03-08
Eastleigh,Woking,2,1,2016,03,08,08.03. 14:45,2016-03-08
Grimsby,Southport,1,0,2016,03,08,08.03. 14:45,2016-03-08
Guiseley,Tranmere,2,2,2016,03,08,08.03. 14:45,2016-03-08
Torquay,Braintree,0,0,2016,03,08,08.03. 14:45,2016-03-08
Altrincham,Macclesfield,0,0,2016,03,05,05.03. 10:00,2016-03-05
Boreham Wood,Barrow,0,2,2016,03,05,05.03. 10:00,2016-03-05
Braintree,Eastleigh,2,0,2016,03,05,05.03. 10:00,2016-03-05
Chester,Bromley,1,1,2016,03,05,05.03. 10:00,2016-03-05
Lincoln,Aldershot,2,0,2016,03,05,05.03. 10:00,2016-03-05
Southport,FC Halifax,0,1,2016,03,05,05.03. 10:00,2016-03-05
Torquay,Kidderminster,3,2,2016,03,05,05.03. 10:00,2016-03-05
Tranmere,Gateshead,3,1,2016,03,05,05.03. 10:00,2016-03-05
Welling,Cheltenham,1,1,2016,03,05,05.03. 10:00,2016-03-05
Woking,Dover,0,1,2016,03,05,05.03. 10:00,2016-03-05
Forest Green,Grimsby,0,1,2016,03,04,04.03. 14:45,2016-03-04
Braintree,Kidderminster,2,1,2016,03,01,01.03. 14:45,2016-03-01
Bromley,Welling,2,0,2016,03,01,01.03. 14:45,2016-03-01
Dover,Southport,1,2,2016,03,01,01.03. 14:45,2016-03-01
Eastleigh,Cheltenham,1,0,2016,03,01,01.03. 14:45,2016-03-01
Macclesfield,Torquay,1,2,2016,03,01,01.03. 14:45,2016-03-01
Chester,Tranmere,0,1,2016,02,28,28.02. 07:00,2016-02-28
Barrow,Forest Green,2,2,2016,02,27,27.02. 10:00,2016-02-27
Guiseley,Braintree,1,1,2016,02,27,27.02. 10:00,2016-02-27
Kidderminster,Bromley,0,1,2016,02,27,27.02. 10:00,2016-02-27
Macclesfield,Wrexham,0,0,2016,02,27,27.02. 10:00,2016-02-27
Southport,Boreham Wood,0,3,2016,02,27,27.02. 10:00,2016-02-27
Welling,Aldershot,0,1,2016,02,27,27.02. 10:00,2016-02-27
Braintree,FC Halifax,2,0,2016,02,23,23.02. 14:45,2016-02-23
Cheltenham,Gateshead,0,0,2016,02,23,23.02. 14:45,2016-02-23
Grimsby,Woking,3,1,2016,02,23,23.02. 14:45,2016-02-23
Guiseley,Forest Green,0,1,2016,02,23,23.02. 14:45,2016-02-23
Torquay,Welling,2,0,2016,02,23,23.02. 14:45,2016-02-23
Wrexham,Kidderminster,2,0,2016,02,23,23.02. 14:45,2016-02-23
Altrincham,Guiseley,1,1,2016,02,20,20.02. 10:00,2016-02-20
Boreham Wood,Torquay,0,1,2016,02,20,20.02. 10:00,2016-02-20
Bromley,Woking,2,1,2016,02,20,20.02. 10:00,2016-02-20
FC Halifax,Grimsby,4,2,2016,02,20,20.02. 10:00,2016-02-20
Forest Green,Eastleigh,2,1,2016,02,20,20.02. 10:00,2016-02-20
Gateshead,Aldershot,3,2,2016,02,20,20.02. 10:00,2016-02-20
Kidderminster,Chester,2,2,2016,02,20,20.02. 10:00,2016-02-20
Lincoln,Southport,3,1,2016,02,20,20.02. 10:00,2016-02-20
Tranmere,Cheltenham,0,1,2016,02,20,20.02. 10:00,2016-02-20
Welling,Wrexham,0,2,2016,02,20,20.02. 10:00,2016-02-20
Altrincham,Chester,0,3,2016,02,16,16.02. 14:45,2016-02-16
Braintree,Boreham Wood,0,2,2016,02,16,16.02. 14:45,2016-02-16
Cheltenham,Kidderminster,2,0,2016,02,16,16.02. 14:45,2016-02-16
Gateshead,Eastleigh,2,1,2016,02,16,16.02. 14:45,2016-02-16
Aldershot,Tranmere,0,0,2016,02,13,13.02. 10:00,2016-02-13
Altrincham,Lincoln,3,3,2016,02,13,13.02. 10:00,2016-02-13
Cheltenham,Welling,2,0,2016,02,13,13.02. 10:00,2016-02-13
Dover,Gateshead,4,0,2016,02,13,13.02. 10:00,2016-02-13
FC Halifax,Forest Green,0,2,2016,02,13,13.02. 10:00,2016-02-13
Grimsby,Boreham Wood,0,0,2016,02,13,13.02. 10:00,2016-02-13
Kidderminster,Macclesfield,3,1,2016,02,13,13.02. 10:00,2016-02-13
Southport,Braintree,1,1,2016,02,13,13.02. 10:00,2016-02-13
Woking,Guiseley,0,1,2016,02,13,13.02. 10:00,2016-02-13
Wrexham,Bromley,2,0,2016,02,13,13.02. 10:00,2016-02-13
Altrincham,Wrexham,1,1,2016,02,09,09.02. 14:45,2016-02-09
Bromley,Grimsby,1,2,2016,02,09,09.02. 14:45,2016-02-09
Kidderminster,Eastleigh,3,2,2016,02,09,09.02. 14:45,2016-02-09
Barrow,Cheltenham,1,2,2016,02,06,06.02. 10:00,2016-02-06
Boreham Wood,Kidderminster,0,2,2016,02,06,06.02. 10:00,2016-02-06
Lincoln,Eastleigh,3,0,2016,02,06,06.02. 10:00,2016-02-06
Tranmere,Southport,1,0,2016,02,06,06.02. 10:00,2016-02-06
Welling,Altrincham,1,1,2016,02,06,06.02. 10:00,2016-02-06
Wrexham,Forest Green,2,2,2016,02,06,06.02. 10:00,2016-02-06
Barrow,Gateshead,0,0,2016,02,02,02.02. 14:45,2016-02-02
Braintree,Welling,1,0,2016,02,02,02.02. 14:45,2016-02-02
Aldershot,Kidderminster,1,0,2016,01,30,30.01. 10:00,2016-01-30
Braintree,Chester,2,0,2016,01,30,30.01. 10:00,2016-01-30
Cheltenham,Bromley,4,1,2016,01,30,30.01. 10:00,2016-01-30
Eastleigh,Wrexham,1,1,2016,01,30,30.01. 10:00,2016-01-30
FC Halifax,Welling,1,1,2016,01,30,30.01. 10:00,2016-01-30
Forest Green,Macclesfield,2,1,2016,01,30,30.01. 10:00,2016-01-30
Gateshead,Grimsby,1,0,2016,01,30,30.01. 10:00,2016-01-30
Lincoln,Guiseley,1,0,2016,01,30,30.01. 10:00,2016-01-30
Tranmere,Torquay,2,1,2016,01,30,30.01. 10:00,2016-01-30
Woking,Barrow,2,2,2016,01,30,30.01. 10:00,2016-01-30
Altrincham,Woking,3,1,2016,01,26,26.01. 14:45,2016-01-26
Braintree,Wrexham,1,0,2016,01,26,26.01. 14:45,2016-01-26
Southport,Forest Green,0,1,2016,01,26,26.01. 14:45,2016-01-26
Dover,Cheltenham,1,2,2016,01,24,24.01. 07:15,2016-01-24
Boreham Wood,Eastleigh,1,1,2016,01,23,23.01. 10:00,2016-01-23
Bromley,Tranmere,0,1,2016,01,23,23.01. 10:00,2016-01-23
Chester,Southport,0,0,2016,01,23,23.01. 10:00,2016-01-23
Forest Green,Braintree,1,0,2016,01,23,23.01. 10:00,2016-01-23
Grimsby,Altrincham,5,0,2016,01,23,23.01. 10:00,2016-01-23
Kidderminster,Guiseley,0,1,2016,01,23,23.01. 10:00,2016-01-23
Macclesfield,Aldershot,0,2,2016,01,23,23.01. 10:00,2016-01-23
Torquay,Gateshead,0,2,2016,01,23,23.01. 10:00,2016-01-23
Welling,Barrow,1,2,2016,01,23,23.01. 10:00,2016-01-23
Woking,FC Halifax,1,1,2016,01,23,23.01. 10:00,2016-01-23
Wrexham,Lincoln,3,1,2016,01,23,23.01. 10:00,2016-01-23
Lincoln,Forest Green,0,1,2016,01,16,16.01. 10:00,2016-01-16
Aldershot,Chester,3,1,2016,01,09,09.01. 10:00,2016-01-09
Barrow,Tranmere,3,4,2016,01,09,09.01. 10:00,2016-01-09
Boreham Wood,Cheltenham,0,0,2016,01,09,09.01. 10:00,2016-01-09
Bromley,Southport,0,0,2016,01,09,09.01. 10:00,2016-01-09
Lincoln,Dover,2,3,2016,01,09,09.01. 10:00,2016-01-09
Macclesfield,FC Halifax,0,1,2016,01,09,09.01. 10:00,2016-01-09
Welling,Grimsby,0,4,2016,01,09,09.01. 10:00,2016-01-09
Wrexham,Woking,1,3,2016,01,09,09.01. 10:00,2016-01-09
Chester,Altrincham,1,1,2016,01,02,02.01. 10:00,2016-01-02
FC Halifax,Lincoln,2,2,2016,01,02,02.01. 10:00,2016-01-02
Gateshead,Barrow,1,1,2016,01,02,02.01. 10:00,2016-01-02
Grimsby,Guiseley,1,1,2016,01,02,02.01. 10:00,2016-01-02
Southport,Wrexham,3,2,2016,01,02,02.01. 10:00,2016-01-02
Tranmere,Macclesfield,0,1,2016,01,02,02.01. 10:00,2016-01-02
Woking,Aldershot,2,1,2016,01,02,02.01. 10:00,2016-01-02
Forest Green,Torquay,3,1,2016,01,01,01.01. 12:30,2016-01-01
Cheltenham,Torquay,1,0,2015,12,28,28.12. 10:00,2015-12-28
Chester,Macclesfield,0,2,2015,12,28,28.12. 10:00,2015-12-28
Dover,Bromley,2,3,2015,12,28,28.12. 10:00,2015-12-28
Eastleigh,Aldershot,1,1,2015,12,28,28.12. 10:00,2015-12-28
FC Halifax,Wrexham,2,0,2015,12,28,28.12. 10:00,2015-12-28
Forest Green,Kidderminster,3,0,2015,12,28,28.12. 10:00,2015-12-28
Gateshead,Guiseley,3,0,2015,12,28,28.12. 10:00,2015-12-28
Southport,Barrow,2,1,2015,12,28,28.12. 10:00,2015-12-28
Tranmere,Altrincham,1,0,2015,12,28,28.12. 10:00,2015-12-28
Woking,Boreham Wood,0,0,2015,12,28,28.12. 10:00,2015-12-28
Grimsby,Lincoln,2,0,2015,12,28,28.12. 07:30,2015-12-28
Aldershot,Woking,0,1,2015,12,26,26.12. 10:00,2015-12-26
Boreham Wood,Braintree,1,0,2015,12,26,26.12. 10:00,2015-12-26
Bromley,Eastleigh,2,2,2015,12,26,26.12. 10:00,2015-12-26
Kidderminster,Cheltenham,1,2,2015,12,26,26.12. 10:00,2015-12-26
Lincoln,FC Halifax,0,1,2015,12,26,26.12. 10:00,2015-12-26
